X;Y;ID
4183663.50509326;3834185.59121596;140724
4184054.6913785;3834872.57734947;140725
4184445.9050884;3835559.5746522;140726
4184837.1462204;3836246.58311585;140727
4185228.4147719;3836933.60273213;140728
4185619.71074031;3837620.63349269;140729
4186011.03412305;3838307.67538922;140730
4186402.38491751;3838994.72841343;140731
4186793.76312112;3839681.79255698;140732
4187185.16873129;3840368.86781156;140733
4187576.6017454;3841055.95416883;140734
4187968.06216088;3841743.0516205;140735
4188359.54997513;3842430.16015822;140736
4188751.06518554;3843117.27977366;140737
4189142.60778953;3843804.41045852;140738
4189534.17778449;3844491.55220446;140739
4189925.77516782;3845178.70500315;140740
4190317.39993692;3845865.86884627;140741
4190709.0520892;3846553.04372547;140742
4191100.73162204;3847240.22963242;140743
4191492.43853285;3847927.4265588;140744
4191884.17281901;3848614.63449627;140745
4192275.93447793;3849301.85343649;140746
4192667.72350698;3849989.08337112;140747
4193059.53990358;3850676.32429183;140748
4193451.3836651;3851363.57619027;140749
4193843.25478894;3852050.83905809;140750
4194235.15327248;3852738.11288698;140751
4194627.07911311;3853425.39766856;140752
4195019.03230823;3854112.6933945;140753
4195411.0128552;3854800.00005644;140754
4195803.02075143;3855487.31764606;140755
4196195.05599428;3856174.64615498;140756
4196587.11858115;3856861.98557487;140757
4196979.20850941;3857549.33589736;140758
4197371.32577644;3858236.69711411;140759
4197763.47037963;3858924.06921675;140760
4198155.64231635;3859611.45219694;140761
4198547.84158397;3860298.84604632;140762
4198940.06817988;3860986.25075652;140763
4199332.32210145;3861673.66631919;140764
4199724.60334605;3862361.09272596;140765
4200116.91191105;3863048.52996848;140766
4200509.24779382;3863735.97803837;140767
4200901.61099175;3864423.43692726;140768
4201294.00150218;3865110.90662681;140769
4201686.4193225;3865798.38712863;140770
4202078.86445007;3866485.87842437;140771
4202471.33688226;3867173.38050564;140772
4202863.83661643;3867860.89336407;140773
4203256.36364995;3868548.41699129;140774
4203648.91798017;3869235.95137892;140775
4204041.49960447;3869923.49651861;140776
4204434.10852019;3870611.05240194;140777
4204826.74472471;3871298.61902057;140778
4205219.40821538;3871986.1963661;140779
4205612.09898955;3872673.78443014;140780
4206004.81704459;3873361.38320433;140781
4206397.56237785;3874048.99268028;140782
4206790.33498668;3874736.61284959;140783
4207183.13486844;3875424.2437039;140784
4207575.96202048;3876111.88523479;140785
